	version_1	version_2	version_3
358	8350.t00364	9629.t00365	11667.t00362
359	8350.t00365	9629.t00366	11667.t00363
360	8350.t00366	9629.t00367	11667.t00364
361	8350.t00367	9629.t00368	11667.t00365
362	8350.t00368	9629.t00369	11667.t00366
363	8350.t00369	9629.t00370	11667.t00367
364	8350.t00370	9629.t00371	11667.t00368
365	8350.t00371	9629.t00372	11667.t00369
366	8350.t00372	9629.t00373	11667.t00370
367	8350.t00373	9629.t00374	11667.t00371
368	8350.t00374	9629.t00375	11667.t00372
369	8350.t00375	9629.t00376	11667.t00373
370	8350.t00376	9629.t00377	11667.t00374
371	8350.t00377	9629.t00378	11667.t00375
372	8350.t00378	9629.t00379	11667.t00376
373	8350.t00379	9629.t00380	11667.t00377
374	8350.t00380	9629.t00381	11667.t00378
375	8350.t00381	9629.t00382	11667.t00379
376	8350.t00382	9629.t00383	11667.t00380
377	8350.t00383	9629.t00384	11667.t00381
378	8350.t00384	9629.t00385	11667.t00382
379	8350.t00385	9629.t00386	11667.t00383
380	8350.t00386	9629.t00387	11667.t00384
381	8350.t00387	9629.t00388	11667.t00385
382	8350.t00388	9629.t00389	11667.t00386
383	8350.t00389	9629.t00390	11667.t00387
384	8350.t00390	9629.t00391	11667.t00388
385	8350.t00391		
386	8350.t00392	9629.t00393	11667.t00390
387	8350.t00393	9629.t00394	11667.t00391
388	8350.t00394	9629.t00395	11667.t00392
389	8350.t00395	9629.t00396	11667.t00393
390	8350.t00396	9629.t00397	11667.t00394
391	8350.t00397	9629.t00398	11667.t00395
392	8350.t00398	9629.t00399	11667.t00396
393	8350.t00399	9629.t00400	11667.t00397
394	8350.t00400	9629.t00401	11667.t00398
395	8350.t00401	9629.t00402	11667.t00399
396	8350.t00402	9629.t00403	11667.t00400
397	8350.t00403	9629.t00404	11667.t00401
398	8350.t00404	9629.t00405	11667.t00402
399	8350.t00405	9629.t00406	11667.t00403
400	8350.t00406	9629.t00407	11667.t00404
401	8350.t00407	9629.t00408	11667.t00405
402	8350.t00408	9629.t00409	11667.t00406
403	8350.t00409	9629.t00410	11667.t00407
404	8350.t00411	9629.t00412	11667.t00409
405	8350.t00412	9629.t00413	11667.t00410
406	8350.t00413	9629.t00414	11667.t00411
407	8350.t00414	9629.t00415	11667.t00412
408	8350.t00415	9629.t00416	11667.t00413
409	8350.t00416	9629.t00417	11667.t00414
410	8350.t00417	9629.t00418	11667.t00415
411	8350.t00418	9629.t00419	11667.t00416
412	8350.t00419	9629.t00420	11667.t00417
413	8350.t00420	9629.t00421	11667.t00418
414	8350.t00421	9629.t00422	11667.t00419
415	8350.t00422	9629.t00423	11667.t00420
416	8350.t00423	9629.t00424	11667.t00421
417	8350.t00424	9629.t00425	11667.t00422
418	8350.t00425	9629.t00426	11667.t00423
419	8350.t00426	9629.t00427	11667.t00424
420	8350.t00427	9629.t00428	11667.t00425
421	8350.t00428	9629.t00429	11667.t00426
422	8350.t00429	9629.t00430	11667.t00427
423	8350.t00430	9629.t00431	11667.t00428
424	8350.t00431	9629.t00432	11667.t00429
425	8350.t00432	9629.t00433	11667.t00430
426	8350.t00433	9629.t00434	11667.t00431
427	8350.t00434	9629.t00435	11667.t00432
428	8350.t00435	9629.t00436	11667.t00433
429	8350.t00436	9629.t00437	11667.t00434
430	8350.t00437	9629.t00438	11667.t00435
431	8350.t00438	9629.t00439	11667.t00436
432	8350.t00439	9629.t00440	11667.t00437
433	8350.t00440	9629.t00441	11667.t00438
434	8350.t00441	9629.t00442	11667.t00439
435	8350.t00442	9629.t00443	11667.t00440
436	8350.t00443	9629.t00444	11667.t00441
437	8350.t00444	9629.t00445	11667.t00442
438	8350.t00445	9629.t00446	11667.t00443
439	8350.t00446	9629.t00447	11667.t00444
440	8350.t00447	9629.t00448	11667.t00445
441	8350.t00448	9629.t00449	11667.t00446
442	8350.t00449	9629.t00450	11667.t00447
443	8350.t00450	9629.t00451	11667.t00448
444	8350.t00451	9629.t00452	11667.t00449
445	8350.t00453	9629.t00454	11667.t00450
446	8350.t00454	9629.t00455	11667.t00451
447	8350.t00455	9629.t00457	11667.t00453
448	8350.t00456	9629.t00458	11667.t00454
449	8350.t00457	9629.t00459	11667.t00455
450	8350.t00458	9629.t00460	11667.t00456
451	8350.t00459	9629.t00461	11667.t00457
452	8350.t00460	9629.t00462	11667.t00458
453	8350.t00461	9629.t00463	11667.t00459
454	8350.t00462	9629.t00464	11667.t00460
455	8350.t00463	9629.t00465	11667.t00461
456	8350.t00464	9629.t00466	11667.t00462
457	8350.t00465	9629.t00467	11667.t00463
458	8350.t00466	9629.t00468	11667.t00464
459	8350.t00467	9629.t00469	11667.t00465
460	8350.t00468	9629.t00470	11667.t00466
461	8350.t00469	9629.t00471	11667.t00467
462	8350.t00470	9629.t00472	11667.t00468
463	8350.t00471	9629.t00473	11667.t00470
464	8350.t00472	9629.t00474	11667.t00471
465	8350.t00473	9629.t00475	11667.t00472
466	8350.t00474	9629.t00476	11667.t00473
467	8350.t00475	9629.t00477	11667.t00474
468	8350.t00476	9629.t00478	11667.t00475
469	8350.t00477	9629.t00479	11667.t00476
470	8350.t00478	9629.t00480	11667.t00477
471	8350.t00479	9629.t00481	11667.t00478
472	8350.t00480	9629.t00482	11667.t00479
473	8350.t00481	9629.t00483	11667.t00480
474	8350.t00482	9629.t00484	11667.t00481
475	8350.t00483	9629.t00485	11667.t00482
476	8350.t00484	9629.t00486	11667.t00483
477	8350.t00485	9629.t00487	11667.t00484
478	8350.t00486	9629.t00488	11667.t00485
479	8350.t00487	9629.t00489	11667.t00486
480	8350.t00488	9629.t00490	11667.t00487
481	8350.t00489	9629.t00491	11667.t00488
482	8350.t00490	9629.t00492	11667.t00489
483	8350.t00491	9629.t00493	11667.t00490
484	8350.t00492	9629.t00494	11667.t00491
485	8350.t00493	9629.t00495	11667.t00492
486	8350.t00494	9629.t00496	11667.t00493
487	8350.t00495	9629.t00497	11667.t00494
488	8350.t00496	9629.t00498	11667.t00495
489	8350.t00497	9629.t00499	11667.t00496
490	8350.t00498	9629.t00500	11667.t00497
491	8350.t00499	9629.t00501	11667.t00498
492	8350.t00500	9629.t00502	11667.t00499
493	8350.t00501	9629.t00503	11667.t00500
494	8350.t00502	9629.t00504	11667.t00501
495	8350.t00503	9629.t00505	11667.t00502
496	8350.t00504	9629.t00506	11667.t00503
497	8350.t00505	9629.t00507	11667.t00504
498	8350.t00506	9629.t00508	11667.t00505
499	8350.t00507	9629.t00509	11667.t00506
500	8350.t00508	9629.t00510	11667.t00507
501	8350.t00509	9629.t00511	11667.t00508
